inchikey	name	is_drug	evidence	moa	support	lpv_5	lpv_4	lpv_3	top1_inchikey	top2_inchikey	top3_inchikey	top1_name	top2_name	top3_name
LBGMVTYMAWIENW-UHFFFAOYSA-N	Ac1M6Yeq	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
ZBPBCBBNRBTRNF-UHFFFAOYSA-N	Mls001116499	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
JXIHOBQBBZSVPO-ODCIPOBUSA-N	Mls001142890	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
VRXSFHGDPQHWSQ-UHFFFAOYSA-N	Mls000531857	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N	UCJGJABZCDBEDK-UHFFFAOYSA-N		Umifenovir	Bazedoxifene	
ROFWQDFXMHEXLH-UHFFFAOYSA-N	Smr000143812	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
WYIQYOLDMRCQIO-UHFFFAOYSA-N	St50720170	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
MIGILBRMELSWJT-UHFFFAOYSA-N	Ethyl 2,6-Dihydroxybenzoate	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N	VSZGPKBBMSAYNT-RRFJBIMHSA-N		Umifenovir	Oseltamivir	
CBKSERCTZRBBQN-UHFFFAOYSA-N	Bdbm50014007	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
QWCWADOTFKCLFA-UHFFFAOYSA-N	Stk323482	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
KMQZJSWHVLEQPP-UHFFFAOYSA-N	Ah-262/08422040	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
YEDPXONTBBNJAE-DJKKODMXSA-N	Mls001139246	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
BHTMVLRRQFEPEN-UHFFFAOYSA-N	Ac1Lodgq	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
LIKRPCBMOHAHGJ-UHFFFAOYSA-N	Smr000107816	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
VZVYGYHPEJFHFM-UHFFFAOYSA-N	Mls001163765	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
OXNVBEVXJYFDAO-UHFFFAOYSA-N	Chembl100827	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
VBFTXXHPIFTWFK-UHFFFAOYSA-N	Stk111356	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
JAQYNEFFVWKPIK-UHFFFAOYSA-N	Ac1Ofn8V	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
WQDZEUPJKGWIEH-UHFFFAOYSA-N	Ac1Liu5I	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
LHEPIWXZPHSQBP-UHFFFAOYSA-N	Ak-968/15256696	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
VLDLZNMMJZDXGG-BMRADRMJSA-N	Chembl123862	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
QWCNOXMFNSYEKF-UHFFFAOYSA-N	Chembl100508	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
FPZGIWVGNXSVPS-UHFFFAOYSA-N	Chembl1091445	0	-2	-2	4	0	0	1	KCFYEAOKVJSACF-UHFFFAOYSA-N			Umifenovir		
