inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
DEHTVRKGDUCXRF-UHFFFAOYSA-N,51661-19-9,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YPKBXXGFNVFZKJ-UHFFFAOYSA-N,Mls000851389,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ZCRCIWKFVFVUMM-UHFFFAOYSA-N,"Triazole, 3E",0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OUPCBJVFBXTVEP-UHFFFAOYSA-N,N-(2-Methoxyphenyl)-2-Phenoxybenzamide,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
PGVVGQBFBRSXFA-UHFFFAOYSA-N,"6-Chloro-N-(5-Methyl-1,3-Thiazol-2-Yl)Pyridine-3-Carboxamide",0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YISGHIZRKXCITD-UHFFFAOYSA-N,Ac1Ljprq,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JEXADIMZJDHSDJ-UHFFFAOYSA-N,St028861,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
GECAYOSQSVQYCM-UHFFFAOYSA-N,Chembl1088173,0,-2,-2,4,0,0,1,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,Trametinib,Levamisole,
MFVSCMSTIWNIIV-UHFFFAOYSA-N,Chembl316339,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VPOJISYAKDCGDO-UHFFFAOYSA-N,Mls000392456,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OUCHQVYPFQHKNF-UHFFFAOYSA-N,Mls000877598,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WCDSDQFIQNRKNV-UHFFFAOYSA-N,Mls000677669,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QUPCIYVXVYXLBE-UHFFFAOYSA-N,Mls000807135,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JLJYIFYJCIMPHA-RIYZIHGNSA-N,Smr000137136,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JEWDNDACCOHSDP-UHFFFAOYSA-N,Stk569509,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WJAZVKMCXZWOKB-UHFFFAOYSA-N,Chembl563034,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DENILIYOMZVVQY-VGOFMYFVSA-N,Stk023593,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YPQAFWHSMWWPLX-UHFFFAOYSA-N,2-Methyl-3-Nitrobenzoic Acid,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ONFFVLQFJTYEPI-ZHACJKMWSA-N,Chembl1802077,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
LLWJMWIHGDELOZ-UHFFFAOYSA-N,Stk390335,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JLSANGMATGRZMD-UHFFFAOYSA-N,St50630471,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ROHHUXKBFOQTFE-UHFFFAOYSA-N,F0417-1895,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
LSVNVLOIUFOODK-VQHVLOKHSA-N,F0447-0089,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
BRFHWWJKHQCZRX-UHFFFAOYSA-N,329903-15-3,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CHEWMXQNBKULAB-UHFFFAOYSA-N,Chembl2059561,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
VIEDGXZWYCIATG-UHFFFAOYSA-N,F2068-0186,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CCNQEGIOUQHENR-UHFFFAOYSA-N,Ac1Mbj72,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
