inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
YSUBAKMTZJCMPW-UHFFFAOYSA-N,Mls000708258,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
ALGOKUNLOGYVHW-UHFFFAOYSA-N,Chembl19289,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HLFTUZASEDOBHI-UHFFFAOYSA-N,CID13312638,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
AJPDCVIUHLYGIP-UHFFFAOYSA-N,Chembl162697,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NRMXUVXZYCBQRM-UHFFFAOYSA-N,Mls000765211,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HTKRUXWKMYQBSI-UHFFFAOYSA-N,Chembl68705,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
XYRLFBSZSQHAJQ-UHFFFAOYSA-N,Schembl444091,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
KOBIEHVHJRAJOC-UHFFFAOYSA-N,Chembl326920,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
IVXOCLGHPZEWIK-UHFFFAOYSA-N,St50677298,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OSADHIIPUMXMSE-UHFFFAOYSA-N,Chembl372641,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HQWSTAGDRNWWEZ-UHFFFAOYSA-N,Mls000684842,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
NXVVCYVGZVGQBB-UHFFFAOYSA-N,Chembl10382,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
PGYKXRPPOXDGTK-UHFFFAOYSA-N,Chembl148864,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
UJUJZEJMWIGCFX-UHFFFAOYSA-N,CID13312661,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YQRVBHMYUSGXHL-UHFFFAOYSA-N,Chembl1614763,0,-2,-2,4,0,0,1,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,Niclosamide,Levamisole,
FGDLTDGMACYSMB-UHFFFAOYSA-N,"Indolo[2,3-B]Quinoxalin-6-Yl-Acetic Acid",0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
YBUWYRSREGITDI-UHFFFAOYSA-N,Chembl21101,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QRCWGIHAMBWGFI-SREIQFSDSA-N,Chembl303952,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
WOEUAFRESFKHDU-UHFFFAOYSA-N,Chembl309132,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
JNXJCNKEVORZTL-UHFFFAOYSA-N,St50942213,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
QTZYKSIMQPUUHJ-UHFFFAOYSA-N,Chembl66216,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
HUUMNYIWWAQWQR-UHFFFAOYSA-N,Chembl2312339,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
OUVWKDIWVGTHPR-UHFFFAOYSA-N,Chembl19701,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
XLZXKIOMTGCMLO-UHFFFAOYSA-N,Bdbm50016632,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
DGPWCCFKELIMEO-UHFFFAOYSA-N,Chembl1673027,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
FZQXMGHTFOKTDP-UXBLZVDNSA-N,Chembl2260161,0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
CBHAZZSTPYAOQK-UHFFFAOYSA-N,"N-(4-Methyl-1,3-Thiazol-2-Yl)-3,5-Dinitrobenzamide",0,-2,-2,4,0,0,1,HLFSDGLLUJUHTE-SNVBAGLBSA-N,,,Levamisole,,
